n, dr =  1000  ????
ind   r               v               rho             Er
0228  1.69228789E+11  7.65841513E+07  3.09094811E-11  2.80338200E+05
0229  1.69892778E+11  7.66819800E+07  3.06292215E-11  2.76819071E+05
0230  1.70559372E+11  7.67792792E+07  3.03517618E-11  2.73345622E+05
0231  1.71228581E+11  7.68760528E+07  3.00770694E-11  2.69917227E+05
0232  1.71900417E+11  7.69723043E+07  2.98051125E-11  2.66533276E+05
0233  1.72574888E+11  7.70680375E+07  2.95358594E-11  2.63193162E+05
0234  1.73252006E+11  7.71632562E+07  2.92692790E-11  2.59896290E+05
0235  1.73931780E+11  7.72579638E+07  2.90053407E-11  2.56642073E+05
0236  1.74614221E+11  7.73521641E+07  2.87440142E-11  2.53429933E+05
0237  1.75299341E+11  7.74458605E+07  2.84852698E-11  2.50259299E+05
0238  1.75987148E+11  7.75390567E+07  2.82290779E-11  2.47129611E+05
0239  1.76677654E+11  7.76317560E+07  2.79754096E-11  2.44040313E+05
0240  1.77370869E+11  7.77239619E+07  2.77242363E-11  2.40990862E+05
0241  1.78066805E+11  7.78156779E+07  2.74755298E-11  2.37980718E+05
0242  1.78765470E+11  7.79069073E+07  2.72292623E-11  2.35009352E+05
0243  1.79466878E+11  7.79976535E+07  2.69854063E-11  2.32076242E+05
0244  1.80171037E+11  7.80879198E+07  2.67439347E-11  2.29180872E+05
0245  1.80877959E+11  7.81777095E+07  2.65048209E-11  2.26322736E+05
0246  1.81587654E+11  7.82670258E+07  2.62680385E-11  2.23501333E+05
0247  1.82300135E+11  7.83558720E+07  2.60335615E-11  2.20716170E+05
0248  1.83015410E+11  7.84442513E+07  2.58013642E-11  2.17966762E+05
0249  1.83733493E+11  7.85321668E+07  2.55714215E-11  2.15252629E+05
0250  1.84454392E+11  7.86196216E+07  2.53437082E-11  2.12573299E+05
0251  1.85178121E+11  7.87066190E+07  2.51181998E-11  2.09928306E+05
0252  1.85904689E+11  7.87931619E+07  2.48948720E-11  2.07317193E+05
0253  1.86634107E+11  7.88792533E+07  2.46737008E-11  2.04739506E+05
0254  1.87366388E+11  7.89648964E+07  2.44546625E-11  2.02194800E+05
0255  1.88101542E+11  7.90500941E+07  2.42377338E-11  1.99682635E+05
0256  1.88839580E+11  7.91348494E+07  2.40228916E-11  1.97202577E+05
0257  1.89580514E+11  7.92191651E+07  2.38101131E-11  1.94754201E+05
0258  1.90324355E+11  7.93030443E+07  2.35993759E-11  1.92337083E+05
0259  1.91071115E+11  7.93864897E+07  2.33906579E-11  1.89950810E+05
0260  1.91820805E+11  7.94695044E+07  2.31839372E-11  1.87594972E+05
0261  1.92573436E+11  7.95520909E+07  2.29791921E-11  1.85269164E+05
0262  1.93329020E+11  7.96342523E+07  2.27764013E-11  1.82972990E+05
0263  1.94087569E+11  7.97159912E+07  2.25755438E-11  1.80706056E+05
0264  1.94849094E+11  7.97973104E+07  2.23765989E-11  1.78467977E+05
0265  1.95613607E+11  7.98782127E+07  2.21795459E-11  1.76258369E+05
0266  1.96381120E+11  7.99587008E+07  2.19843646E-11  1.74076858E+05
0267  1.97151644E+11  8.00387772E+07  2.17910351E-11  1.71923072E+05
0268  1.97925191E+11  8.01184447E+07  2.15995376E-11  1.69796645E+05
0269  1.98701774E+11  8.01977060E+07  2.14098526E-11  1.67697218E+05
0270  1.99481403E+11  8.02765636E+07  2.12219608E-11  1.65624434E+05
0271  2.00264092E+11  8.03550201E+07  2.10358433E-11  1.63577942E+05
0272  2.01049851E+11  8.04330781E+07  2.08514812E-11  1.61557398E+05
0273  2.01838694E+11  8.05107401E+07  2.06688560E-11  1.59562459E+05
0274  2.02630631E+11  8.05880086E+07  2.04879494E-11  1.57592790E+05
0275  2.03425676E+11  8.06648862E+07  2.03087433E-11  1.55648059E+05
0276  2.04223840E+11  8.07413754E+07  2.01312198E-11  1.53727938E+05
0277  2.05025136E+11  8.08174785E+07  1.99553614E-11  1.51832106E+05
0278  2.05829576E+11  8.08931980E+07  1.97811505E-11  1.49960245E+05
0279  2.06637173E+11  8.09685363E+07  1.96085699E-11  1.48112039E+05
0280  2.07447938E+11  8.10434958E+07  1.94376028E-11  1.46287181E+05
0281  2.08261884E+11  8.11180790E+07  1.92682321E-11  1.44485365E+05
0282  2.09079023E+11  8.11922881E+07  1.91004415E-11  1.42706291E+05
0283  2.09899369E+11  8.12661254E+07  1.89342144E-11  1.40949660E+05
0284  2.10722934E+11  8.13395934E+07  1.87695347E-11  1.39215181E+05
0285  2.11549730E+11  8.14126942E+07  1.86063864E-11  1.37502565E+05
0286  2.12379770E+11  8.14854302E+07  1.84447536E-11  1.35811527E+05
0287  2.13213067E+11  8.15578036E+07  1.82846208E-11  1.34141786E+05
0288  2.14049633E+11  8.16298166E+07  1.81259725E-11  1.32493065E+05
0289  2.14889481E+11  8.17014715E+07  1.79687935E-11  1.30865091E+05
0290  2.15732625E+11  8.17727705E+07  1.78130687E-11  1.29257594E+05
0291  2.16579077E+11  8.18437158E+07  1.76587832E-11  1.27670308E+05
0292  2.17428850E+11  8.19143094E+07  1.75059224E-11  1.26102972E+05
0293  2.18281958E+11  8.19845536E+07  1.73544716E-11  1.24555325E+05
0294  2.19138412E+11  8.20544505E+07  1.72044165E-11  1.23027114E+05
0295  2.19998228E+11  8.21240022E+07  1.70557430E-11  1.21518087E+05
0296  2.20861416E+11  8.21932108E+07  1.69084369E-11  1.20027995E+05
0297  2.21727992E+11  8.22620784E+07  1.67624844E-11  1.18556592E+05
0298  2.22597967E+11  8.23306070E+07  1.66178719E-11  1.17103638E+05
0299  2.23471356E+11  8.23987987E+07  1.64745857E-11  1.15668895E+05
0300  2.24348172E+11  8.24666555E+07  1.63326126E-11  1.14252126E+05
0301  2.25228428E+11  8.25341794E+07  1.61919391E-11  1.12853100E+05
0302  2.26112138E+11  8.26013724E+07  1.60525524E-11  1.11471588E+05
0303  2.26999315E+11  8.26682365E+07  1.59144394E-11  1.10107365E+05
0304  2.27889973E+11  8.27347736E+07  1.57775873E-11  1.08760207E+05
0305  2.28784126E+11  8.28009858E+07  1.56419836E-11  1.07429895E+05
0306  2.29681787E+11  8.28668749E+07  1.55076158E-11  1.06116212E+05
0307  2.30582971E+11  8.29324429E+07  1.53744714E-11  1.04818943E+05
0308  2.31487690E+11  8.29976916E+07  1.52425384E-11  1.03537879E+05
0309  2.32395959E+11  8.30626230E+07  1.51118046E-11  1.02272811E+05
0310  2.33307791E+11  8.31272388E+07  1.49822580E-11  1.01023533E+05
0311  2.34223201E+11  8.31915411E+07  1.48538870E-11  9.97898429E+04
0312  2.35142203E+11  8.32555316E+07  1.47266799E-11  9.85715406E+04
0313  2.36064811E+11  8.33192121E+07  1.46006251E-11  9.73684288E+04
0314  2.36991039E+11  8.33825845E+07  1.44757112E-11  9.61803127E+04
0315  2.37920901E+11  8.34456506E+07  1.43519270E-11  9.50070005E+04
0316  2.38854411E+11  8.35084121E+07  1.42292613E-11  9.38483026E+04
0317  2.39791584E+11  8.35708708E+07  1.41077031E-11  9.27040319E+04
0318  2.40732434E+11  8.36330286E+07  1.39872415E-11  9.15740040E+04
0319  2.41676976E+11  8.36948871E+07  1.38678657E-11  9.04580369E+04
0320  2.42625224E+11  8.37564480E+07  1.37495652E-11  8.93559509E+04
0321  2.43577192E+11  8.38177132E+07  1.36323292E-11  8.82675689E+04
0322  2.44532895E+11  8.38786842E+07  1.35161475E-11  8.71927158E+04
0323  2.45492349E+11  8.39393629E+07  1.34010097E-11  8.61312191E+04
0324  2.46455566E+11  8.39997508E+07  1.32869057E-11  8.50829086E+04
0325  2.47422563E+11  8.40598497E+07  1.31738253E-11  8.40476161E+04
0326  2.48393355E+11  8.41196612E+07  1.30617586E-11  8.30251760E+04
0327  2.49367955E+11  8.41791869E+07  1.29506957E-11  8.20154245E+04
0328  2.50346379E+11  8.42384285E+07  1.28406269E-11  8.10182002E+04
0329  2.51328642E+11  8.42973877E+07  1.27315426E-11  8.00333437E+04
0330  2.52314759E+11  8.43560659E+07  1.26234331E-11  7.90606979E+04
0331  2.53304746E+11  8.44144649E+07  1.25162892E-11  7.81001076E+04
0332  2.54298616E+11  8.44725861E+07  1.24101013E-11  7.71514196E+04
0333  2.55296386E+11  8.45304313E+07  1.23048604E-11  7.62144829E+04
0334  2.56298071E+11  8.45880018E+07  1.22005573E-11  7.52891482E+04
0335  2.57303687E+11  8.46452994E+07  1.20971830E-11  7.43752686E+04
0336  2.58313248E+11  8.47023254E+07  1.19947284E-11  7.34726987E+04
0337  2.59326770E+11  8.47590815E+07  1.18931849E-11  7.25812952E+04
0338  2.60344268E+11  8.48155692E+07  1.17925436E-11  7.17009167E+04
0339  2.61365759E+11  8.48717900E+07  1.16927958E-11  7.08314236E+04
0340  2.62391258E+11  8.49277453E+07  1.15939332E-11  6.99726781E+04
0341  2.63420781E+11  8.49834367E+07  1.14959471E-11  6.91245442E+04
0342  2.64454343E+11  8.50388656E+07  1.13988292E-11  6.82868879E+04
0343  2.65491960E+11  8.50940335E+07  1.13025713E-11  6.74595766E+04
0344  2.66533649E+11  8.51489418E+07  1.12071650E-11  6.66424797E+04
0345  2.67579425E+11  8.52035920E+07  1.11126024E-11  6.58354681E+04
0346  2.68629304E+11  8.52579856E+07  1.10188754E-11  6.50384146E+04
0347  2.69683302E+11  8.53121238E+07  1.09259761E-11  6.42511936E+04
0348  2.70741436E+11  8.53660083E+07  1.08338965E-11  6.34736809E+04
0349  2.71803721E+11  8.54196402E+07  1.07426290E-11  6.27057542E+04
0350  2.72870175E+11  8.54730212E+07  1.06521658E-11  6.19472928E+04
0351  2.73940813E+11  8.55261524E+07  1.05624994E-11  6.11981773E+04
0352  2.75015651E+11  8.55790354E+07  1.04736222E-11  6.04582900E+04
0353  2.76094707E+11  8.56316714E+07  1.03855268E-11  5.97275149E+04
0354  2.77177997E+11  8.56840618E+07  1.02982057E-11  5.90057373E+04
0355  2.78265537E+11  8.57362080E+07  1.02116518E-11  5.82928440E+04
